attributes,business_id,categories,city,full_address,hours,latitude,longitude,name,neighborhoods,open,review_count,stars,state,type
"{u'Alcohol': u'none', u'Noise Level': u'average', u'Has TV': False, u'Attire': u'casual', u'Ambience': {u'romantic': False, u'intimate': False, u'touristy': False, u'hipster': False, u'divey': False, u'classy': False, u'trendy': False, u'upscale': False, u'casual': True}, u'Good for Kids': True, u'Price Range': 2, u'Delivery': True, u'Caters': True, u'BYOB': False, u'Corkage': False, u'Accepts Credit Cards': True, u'BYOB/Corkage': u'yes_free', u'Take-out': True, u'Wheelchair Accessible': False, u'Outdoor Seating': False, u'Takes Reservations': False, u'Waiter Service': False, u'Wi-Fi': u'no', u'Good For': {u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'breakfast': False, u'brunch': False}, u'Parking': {u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}, u'Good For Kids': False, u'Good For Groups': True}",nYBrrU9LVLTUhZP1SDc1Bg,"[u'Sandwiches', u'Restaurants']",Boston,"44 Province St
Downtown
Boston, MA 02108","{u'Tuesday': {u'close': u'15:30', u'open': u'11:00'}, u'Friday': {u'close': u'15:30', u'open': u'11:00'}, u'Monday': {u'close': u'15:30', u'open': u'11:00'}, u'Wednesday': {u'close': u'15:30', u'open': u'11:00'}, u'Thursday': {u'close': u'15:30', u'open': u'11:00'}}",42.3568718,-71.0599198,Sam LaGrassa's,[u'Downtown'],True,548,4.5,MA,business
"{u'Alcohol': u'full_bar', u'Noise Level': u'loud', u'Music': {u'dj': False, u'live': True, u'video': False, u'jukebox': False}, u'Attire': u'casual', u'Ambience': {u'romantic': False, u'intimate': False, u'touristy': False, u'hipster': False, u'divey': False, u'classy': False, u'trendy': False, u'upscale': False, u'casual': True}, u'Good for Kids': False, u'Price Range': 2, u'Good For Dancing': True, u'Delivery': False, u'Coat Check': False, u'Smoking': u'no', u'Accepts Credit Cards': True, u'BYOB/Corkage': u'no', u'Take-out': True, u'Happy Hour': True, u'Wheelchair Accessible': True, u'Outdoor Seating': False, u'Takes Reservations': True, u'Waiter Service': True, u'Wi-Fi': u'free', u'Caters': False, u'Good For': {u'dessert': False, u'latenight': True, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}, u'Parking': {u'garage': True, u'street': True, u'validated': True, u'lot': False, u'valet': False}, u'Has TV': True, u'Good For Groups': True}",nrWDE7emExLDiE89oAabDw,"[u'Pubs', u'Bars', u'American (Traditional)', u'Nightlife', u'Restaurants']",Boston,"17 Union St
Boston, MA 02108","{u'Monday': {u'close': u'02:00', u'open': u'11:00'}, u'Tuesday': {u'close': u'02:00', u'open': u'11:00'}, u'Friday': {u'close': u'02:00', u'open': u'11:00'}, u'Wednesday': {u'close': u'02:00', u'open': u'11:00'}, u'Thursday': {u'close': u'02:00', u'open': u'11:00'}, u'Sunday': {u'close': u'02:00', u'open': u'11:00'}, u'Saturday': {u'close': u'02:00', u'open': u'11:00'}}",42.3604357,-71.0567277,The Tap,[],False,95,3.0,MA,business
"{u'Take-out': True, u'Accepts Credit Cards': True, u'Price Range': 1, u'Outdoor Seating': False, u'Caters': True, u'Noise Level': u'average', u'Parking': {u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}, u'Good For Groups': True, u'Delivery': False, u'Attire': u'casual', u'Has TV': False, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'brunch': False, u'breakfast': True}, u'Takes Reservations': False, u'Ambience': {u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': True}, u'Waiter Service': False, u'Wi-Fi': u'free', u'Good for Kids': True, u'Alcohol': u'none', u'Wheelchair Accessible': True}",bTyLAmzTzjjPQmwDFcjtug,"[u'Food', u'Sandwiches', u'Bagels', u'Breakfast & Brunch', u'Restaurants']",Boston,"7 School Street
Downtown
Boston, MA 02108","{u'Monday': {u'close': u'17:00', u'open': u'05:30'}, u'Tuesday': {u'close': u'17:00', u'open': u'05:30'}, u'Friday': {u'close': u'17:00', u'open': u'05:30'}, u'Wednesday': {u'close': u'17:00', u'open': u'05:30'}, u'Thursday': {u'close': u'17:00', u'open': u'05:30'}, u'Sunday': {u'close': u'17:00', u'open': u'07:00'}, u'Saturday': {u'close': u'17:00', u'open': u'07:00'}}",42.3575594,-71.058655,Bruegger's Bagels,[u'Downtown'],True,71,2.5,MA,business
"{u'Take-out': True, u'Price Range': 1, u'Outdoor Seating': True, u'Takes Reservations': False, u'Alcohol': u'none', u'Good For Groups': True, u'Delivery': False, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'breakfast': False, u'brunch': False}, u'Parking': {u'garage': True, u'street': False, u'validated': False, u'lot': False, u'valet': False}, u'Attire': u'casual', u'Waiter Service': False, u'Accepts Credit Cards': True, u'Good for Kids': True, u'BYOB/Corkage': u'no', u'Wheelchair Accessible': True}",iviRIv9trIc3wrjWGNI9nA,"[u'Sandwiches', u'Restaurants']",Boston,"3 Ctr Plz
Downtown
Boston, MA 02108",{},42.3592321,-71.0600362,Souper Salad of Center Plaza,[u'Downtown'],False,4,3.0,MA,business
"{u'Take-out': True, u'Accepts Credit Cards': True, u'Price Range': 1, u'Outdoor Seating': False, u'Caters': True, u'Noise Level': u'average', u'Good For Kids': True, u'Parking': {u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}, u'Good For Groups': True, u'Delivery': True, u'Dogs Allowed': True, u'Attire': u'casual', u'Has TV': False, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'breakfast': False, u'brunch': False}, u'Takes Reservations': False, u'Ambience': {u'romantic': False, u'intimate': False, u'touristy': False, u'hipster': False, u'divey': False, u'classy': False, u'trendy': False, u'upscale': False, u'casual': True}, u'Waiter Service': False, u'Wi-Fi': u'free', u'Good for Kids': True, u'Alcohol': u'none', u'Wheelchair Accessible': True}",dDft_wuhkjcEy_ZDiK5W4w,"[u'Italian', u'Pizza', u'Sandwiches', u'Restaurants']",Boston,"32 Bromfield St
Downtown
Boston, MA 02108","{u'Tuesday': {u'close': u'16:00', u'open': u'10:00'}, u'Friday': {u'close': u'16:00', u'open': u'10:00'}, u'Monday': {u'close': u'16:00', u'open': u'10:00'}, u'Wednesday': {u'close': u'16:00', u'open': u'10:00'}, u'Thursday': {u'close': u'16:00', u'open': u'10:00'}}",42.3566087,-71.0604206,Pizzeria Rico,[u'Downtown'],True,54,3.5,MA,business
"{u'Take-out': True, u'Accepts Credit Cards': True, u'Price Range': 1, u'Outdoor Seating': False, u'Caters': True, u'Noise Level': u'average', u'Parking': {u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}, u'Good For Groups': True, u'Delivery': False, u'Dogs Allowed': False, u'Attire': u'casual', u'Has TV': False, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'breakfast': False, u'brunch': False}, u'Takes Reservations': False, u'Ambience': {u'romantic': False, u'intimate': False, u'touristy': False, u'hipster': False, u'divey': False, u'classy': False, u'trendy': False, u'upscale': False, u'casual': True}, u'Waiter Service': False, u'Wi-Fi': u'free', u'Good for Kids': True, u'Alcohol': u'none', u'Wheelchair Accessible': True}",j4RUjBJnIvqsMvHWxi0atg,"[u'Sandwiches', u'Salad', u'Restaurants']",Boston,"14 Milk St
Downtown
Boston, MA 02108","{u'Monday': {u'close': u'20:00', u'open': u'06:00'}, u'Tuesday': {u'close': u'20:00', u'open': u'06:00'}, u'Friday': {u'close': u'20:00', u'open': u'06:00'}, u'Wednesday': {u'close': u'20:00', u'open': u'06:00'}, u'Thursday': {u'close': u'20:00', u'open': u'06:00'}, u'Saturday': {u'close': u'17:00', u'open': u'07:00'}}",42.3568188,-71.0578664,Cosi,[u'Downtown'],True,52,3.5,MA,business
"{u'Take-out': True, u'Price Range': 1, u'Outdoor Seating': False, u'Noise Level': u'average', u'Parking': {u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}, u'Good For Groups': False, u'Delivery': False, u'Attire': u'casual', u'Good For': {u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'breakfast': True, u'brunch': False}, u'Takes Reservations': False, u'Ambience': {u'romantic': False, u'intimate': False, u'touristy': False, u'hipster': False, u'divey': False, u'classy': False, u'trendy': False, u'casual': False}, u'Waiter Service': False, u'Accepts Credit Cards': True, u'Good for Kids': True, u'Alcohol': u'none', u'Wheelchair Accessible': True}",LsfsTh-xqUvKjFNp1i6zkg,"[u'Food', u'Bagels', u'Sandwiches', u'Restaurants']",Boston,"129 Tremont St
Downtown
Boston, MA 02108","{u'Monday': {u'close': u'20:00', u'open': u'06:00'}, u'Tuesday': {u'close': u'20:00', u'open': u'06:00'}, u'Friday': {u'close': u'20:00', u'open': u'06:00'}, u'Wednesday': {u'close': u'20:00', u'open': u'06:00'}, u'Thursday': {u'close': u'20:00', u'open': u'06:00'}, u'Sunday': {u'close': u'18:00', u'open': u'07:00'}, u'Saturday': {u'close': u'20:00', u'open': u'07:00'}}",42.3563228,-71.062015,Finagle-A-Bagel,[u'Downtown'],False,40,2.5,MA,business
"{u'Alcohol': u'full_bar', u'Noise Level': u'average', u'Has TV': True, u'Attire': u'casual', u'Ambience': {u'romantic': False, u'intimate': False, u'touristy': False, u'hipster': False, u'divey': False, u'classy': False, u'trendy': False, u'upscale': False, u'casual': True}, u'Good for Kids': False, u'Price Range': 2, u'Delivery': False, u'BYOB': False, u'Coat Check': False, u'Smoking': u'no', u'Accepts Credit Cards': True, u'BYOB/Corkage': u'no', u'Take-out': True, u'Happy Hour': True, u'Wheelchair Accessible': True, u'Outdoor Seating': False, u'Takes Reservations': False, u'Waiter Service': True, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}, u'Parking': {u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}, u'Music': {u'dj': False, u'live': True, u'video': False, u'jukebox': False}, u'Good For Kids': False, u'Good For Groups': True}",7sFcxaqbZOSAzH0yoFN82A,"[u'Arts & Entertainment', u'American (New)', u'Nightlife', u'Music Venues', u'Restaurants']",Boston,"42 Province St
Downtown
Boston, MA 02108","{u'Monday': {u'close': u'22:00', u'open': u'11:00'}, u'Tuesday': {u'close': u'01:00', u'open': u'11:00'}, u'Friday': {u'close': u'01:00', u'open': u'11:00'}, u'Wednesday': {u'close': u'01:00', u'open': u'11:00'}, u'Thursday': {u'close': u'01:00', u'open': u'11:00'}, u'Sunday': {u'close': u'22:00', u'open': u'09:30'}, u'Saturday': {u'close': u'02:00', u'open': u'09:30'}}",42.3568719,-71.0600791,Kennedy's Midtown,[u'Downtown'],False,59,3.0,MA,business
"{u'Take-out': True, u'Price Range': 1, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}, u'Takes Reservations': False, u'Delivery': False, u'Outdoor Seating': False, u'Parking': {u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}, u'Attire': u'casual', u'Waiter Service': False, u'Wheelchair Accessible': True, u'Good for Kids': False, u'Good For Groups': True, u'Alcohol': u'none'}",luicBR7G1s9lnT69IQNQwg,"[u'Restaurants', u'Pizza', u'Italian']",Boston,"417 Washington St
Downtown
Boston, MA 02108",{},42.3556905,-71.0602908,Sbarro,[u'Downtown'],True,6,1.5,MA,business
"{u'Take-out': True, u'Accepts Credit Cards': True, u'Price Range': 1, u'Outdoor Seating': False, u'Caters': False, u'Noise Level': u'average', u'Parking': {u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}, u'Delivery': False, u'Attire': u'casual', u'Has TV': True, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'brunch': False, u'breakfast': False}, u'Takes Reservations': False, u'Ambience': {u'romantic': False, u'intimate': False, u'touristy': False, u'hipster': False, u'divey': False, u'classy': False, u'trendy': False, u'upscale': False, u'casual': False}, u'Waiter Service': False, u'Wi-Fi': u'no', u'Good for Kids': True, u'Good For Groups': True, u'Alcohol': u'none'}",SutpbPf_TFbhemSKmkxS3A,"[u'Fast Food', u'Sandwiches', u'Restaurants']",Boston,"417 Washington St
Downtown
Boston, MA 02108",{},42.3556905,-71.0602908,Subway,[u'Downtown'],True,9,2.5,MA,business
